,Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Base_MET,HR_Intensity,Effective_MET,Calories_Burned (kcal)
3541,51,Female,84.9,1.9,176.0,144.0,68.0,0.71,Strength,22.2,3.9,6,2,23.5,6.0,0.7037037037037037,4.222222222222222,254.5
3542,54,Female,57.8,1.61,168.0,154.0,77.0,0.95,HIIT,29.6,3.5,2,0,22.3,9.5,0.8461538461538461,8.038461538461538,441.4
3543,23,Female,71.4,1.71,198.0,160.0,72.0,0.94,Strength,26.3,3.3,3,0,24.5,6.0,0.6984126984126984,4.19047619047619,281.2
3544,24,Female,71.2,1.83,189.0,140.0,80.0,0.59,Yoga,27.0,3.3,2,0,21.2,3.0,0.5504587155963303,1.651376146788991,69.4
3545,49,Male,77.4,1.83,174.0,159.0,72.0,1.06,HIIT,26.5,3.4,3,0,23.1,9.5,0.8529411764705882,8.102941176470589,664.8
3546,49,Male,53.0,1.48,168.0,147.0,83.0,0.68,Mixed,18.9,3.8,4,1,24.0,8.0,0.7529411764705882,6.023529411764706,217.1
3547,42,Male,68.6,1.68,174.0,128.0,72.0,0.9,Yoga,33.4,4.7,3,0,24.3,3.0,0.5490196078431373,1.647058823529412,101.7
3548,50,Male,83.9,1.83,174.0,141.0,64.0,1.14,Strength,22.7,3.3,5,3,25.1,6.0,0.7,4.199999999999999,401.7
3549,24,Male,84.1,1.9,190.0,143.0,55.0,1.08,Cardio,15.4,3.7,5,3,23.3,7.0,0.6518518518518519,4.562962962962963,414.4
3550,29,Male,63.9,1.75,190.0,153.0,68.0,0.67,Strength,20.0,3.9,5,1,20.9,6.0,0.6967213114754098,4.1803278688524586,179.0
3551,33,Male,65.7,1.64,181.0,130.0,67.0,0.59,Yoga,29.5,2.9,5,1,24.3,3.0,0.5526315789473685,1.6578947368421053,64.3
3552,33,Female,58.1,1.58,186.0,127.0,55.0,1.0,Yoga,18.2,4.2,6,3,23.3,3.0,0.549618320610687,1.6488549618320612,95.8
3553,53,Female,101.4,1.9,156.0,114.0,62.0,0.99,Yoga,22.1,4.8,6,2,28.1,3.0,0.5531914893617021,1.6595744680851063,166.6
3554,30,Female,87.9,1.75,193.0,175.0,77.0,0.72,HIIT,25.6,3.1,2,0,28.6,9.5,0.8448275862068966,8.025862068965518,507.9
3555,24,Female,47.1,1.6,198.0,158.0,64.0,1.34,Strength,23.9,4.3,5,2,18.5,6.0,0.7014925373134329,4.208955223880597,265.6
3556,53,Female,72.9,1.66,178.0,149.0,81.0,0.69,Strength,34.7,2.7,2,0,26.5,6.0,0.7010309278350515,4.2061855670103085,211.6
3557,26,Female,79.8,1.71,195.0,163.0,65.0,0.63,Mixed,19.0,3.3,4,1,27.3,8.0,0.7538461538461538,6.030769230769231,303.2
3558,49,Male,56.0,1.73,166.0,139.0,73.0,0.97,Strength,21.5,3.8,5,1,18.6,6.0,0.7096774193548387,4.258064516129032,231.3
3559,28,Female,66.5,1.59,197.0,163.0,62.0,1.06,Mixed,25.2,4.2,7,2,26.3,8.0,0.7481481481481481,5.985185185185185,421.9
3560,25,Male,72.3,1.62,200.0,158.0,81.0,0.7,Cardio,27.3,2.9,3,0,27.6,7.0,0.6470588235294118,4.529411764705882,229.2
3561,50,Female,46.3,1.51,177.0,162.0,79.0,0.34,HIIT,29.8,2.8,2,0,20.2,9.5,0.8469387755102041,8.045918367346939,126.7
3562,40,Male,73.4,1.78,170.0,139.0,65.0,1.13,Strength,13.5,4.1,7,3,23.1,6.0,0.7047619047619048,4.228571428571429,350.7
3563,42,Male,67.0,1.65,174.0,136.0,64.0,1.12,Cardio,20.3,3.2,4,2,24.7,7.0,0.6545454545454545,4.581818181818182,343.8
3564,25,Female,78.4,1.73,190.0,156.0,77.0,0.65,Strength,29.6,3.4,5,1,26.3,6.0,0.6991150442477876,4.1946902654867255,213.8
3565,39,Female,66.6,1.82,189.0,156.0,57.0,0.82,Mixed,16.3,4.0,4,2,20.0,8.0,0.75,6.0,327.7
3566,21,Female,82.9,1.7,203.0,155.0,67.0,1.14,Cardio,19.4,3.9,5,2,28.6,7.0,0.6470588235294118,4.529411764705882,428.1
3567,57,Female,50.1,1.67,169.0,139.0,71.0,0.92,Strength,24.9,4.1,3,1,18.0,6.0,0.6938775510204082,4.163265306122449,191.9
3568,20,Female,84.6,1.7,195.0,154.0,79.0,0.68,Cardio,21.1,2.9,3,0,29.3,7.0,0.646551724137931,4.525862068965518,260.4
3569,46,Male,74.5,1.69,175.0,138.0,70.0,0.78,Cardio,24.1,2.2,3,1,26.2,7.0,0.6476190476190476,4.533333333333333,263.4
3570,58,Female,70.1,1.8,154.0,139.0,55.0,1.49,HIIT,22.0,4.4,7,3,21.5,9.5,0.8484848484848485,8.06060606060606,841.9
3571,46,Male,80.4,1.71,168.0,152.0,60.0,0.84,HIIT,21.8,3.4,5,2,27.5,9.5,0.8518518518518519,8.092592592592593,546.5
3572,51,Male,52.3,1.63,170.0,135.0,70.0,0.52,Cardio,20.7,2.6,3,1,19.8,7.0,0.65,4.55,123.7
3573,51,Male,77.9,1.78,170.0,141.0,74.0,0.38,Strength,28.3,3.0,3,0,24.5,6.0,0.6979166666666666,4.1875,124.0
3574,45,Female,81.1,1.8,177.0,138.0,64.0,1.4,Cardio,17.6,3.6,5,3,25.0,7.0,0.6548672566371682,4.5840707964601775,520.5
3575,30,Female,59.6,1.55,187.0,153.0,75.0,0.85,Strength,23.9,3.6,3,1,24.9,6.0,0.6964285714285714,4.178571428571429,211.7
3576,32,Female,69.4,1.83,190.0,160.0,70.0,1.09,Mixed,20.8,4.3,3,1,20.6,8.0,0.75,6.0,453.9
3577,40,Female,64.9,1.72,180.0,133.0,75.0,0.99,Yoga,32.3,4.6,2,0,22.0,3.0,0.5523809523809524,1.6571428571428573,106.5
3578,43,Female,71.5,1.71,185.0,150.0,70.0,1.13,Strength,12.1,3.7,5,2,24.5,6.0,0.6956521739130435,4.173913043478261,337.2
3579,21,Female,66.9,1.78,197.0,178.0,74.0,0.6,HIIT,29.1,3.5,2,0,21.1,9.5,0.8455284552845529,8.032520325203253,322.4
3580,43,Male,66.1,1.62,168.0,138.0,69.0,0.73,Strength,26.6,3.7,3,1,25.1,6.0,0.696969696969697,4.181818181818182,201.8
3581,57,Female,67.9,1.78,166.0,120.0,63.0,1.05,Yoga,25.5,4.5,5,1,21.5,3.0,0.5533980582524272,1.6601941747572817,118.4
3582,26,Male,75.5,1.64,196.0,151.0,69.0,0.81,Cardio,14.0,2.9,7,2,28.0,7.0,0.6456692913385826,4.519685039370079,276.4
3583,22,Male,71.0,1.53,194.0,163.0,70.0,0.77,Mixed,17.3,4.0,4,1,30.3,8.0,0.75,6.0,328.0
3584,49,Female,57.0,1.58,169.0,146.0,76.0,0.84,Mixed,22.0,4.8,5,1,22.8,8.0,0.7526881720430108,6.021505376344086,288.3
3585,37,Female,83.5,1.74,184.0,132.0,69.0,0.58,Yoga,26.4,3.3,3,0,27.7,3.0,0.5478260869565217,1.643478260869565,79.6
3586,28,Female,58.2,1.59,190.0,158.0,63.0,1.15,Mixed,21.1,4.0,6,2,23.2,8.0,0.7480314960629921,5.984251968503937,400.5
3587,32,Female,68.6,1.84,182.0,152.0,80.0,0.6,Strength,23.8,3.8,3,0,20.3,6.0,0.7058823529411765,4.235294117647059,174.3
3588,49,Female,72.2,1.8,170.0,136.0,72.0,0.25,Cardio,24.9,2.3,4,1,22.3,7.0,0.6530612244897959,4.571428571428571,82.5
3589,45,Female,80.0,1.81,179.0,145.0,64.0,0.51,Strength,20.8,2.9,4,1,24.3,6.0,0.7043478260869566,4.22608695652174,172.4
3590,39,Male,51.6,1.69,179.0,130.0,70.0,0.84,Yoga,18.9,3.9,6,2,18.0,3.0,0.5504587155963303,1.651376146788991,71.6
3591,58,Male,77.1,1.71,163.0,147.0,58.0,1.15,HIIT,23.6,3.7,7,2,26.5,9.5,0.8476190476190476,8.052380952380952,714.0
3592,34,Male,59.3,1.56,185.0,156.0,69.0,0.81,Mixed,18.8,4.2,4,2,24.3,8.0,0.75,6.0,288.2
3593,43,Male,88.7,1.78,171.0,125.0,70.0,0.87,Yoga,21.9,4.2,3,0,28.0,3.0,0.5445544554455446,1.6336633663366338,126.1
3594,24,Male,78.0,1.72,195.0,154.0,76.0,0.87,Cardio,21.4,3.3,3,1,26.4,7.0,0.6554621848739496,4.588235294117647,311.4
3595,59,Male,73.8,1.74,159.0,146.0,76.0,0.54,HIIT,26.5,2.9,3,0,24.5,9.5,0.8433734939759037,8.012048192771084,319.3
3596,43,Female,77.2,1.85,181.0,143.0,72.0,0.87,Cardio,17.0,3.2,3,1,22.6,7.0,0.6513761467889908,4.559633027522936,306.2
3597,42,Female,78.9,1.62,184.0,150.0,70.0,0.8,Strength,22.5,3.6,4,1,30.1,6.0,0.7017543859649122,4.2105263157894735,265.8
3598,27,Female,90.9,1.67,197.0,179.0,75.0,0.79,HIIT,32.6,3.2,2,0,32.7,9.5,0.8524590163934426,8.098360655737704,581.6
3599,36,Male,66.4,1.71,180.0,153.0,70.0,1.19,Mixed,24.7,4.6,4,1,22.6,8.0,0.7545454545454545,6.036363636363636,477.0
3600,28,Male,70.9,1.59,186.0,168.0,64.0,1.18,HIIT,8.0,3.9,5,3,28.2,9.5,0.8524590163934426,8.098360655737704,677.5
3601,30,Male,58.4,1.66,182.0,147.0,65.0,1.0,Strength,18.7,4.1,5,2,21.2,6.0,0.7008547008547008,4.205128205128204,245.6
3602,25,Female,64.7,1.73,196.0,165.0,72.0,1.11,Mixed,22.5,4.8,5,2,21.6,8.0,0.75,6.0,430.9
3603,57,Female,60.9,1.65,159.0,130.0,61.0,1.08,Strength,14.5,3.7,5,2,22.5,6.0,0.7040816326530612,4.224489795918368,277.9
3604,21,Female,87.7,1.81,193.0,158.0,74.0,0.65,Strength,31.6,3.3,5,1,26.7,6.0,0.7058823529411765,4.235294117647059,241.4
3605,48,Male,46.1,1.53,182.0,153.0,68.0,1.29,Mixed,21.7,4.7,7,2,19.7,8.0,0.7456140350877193,5.964912280701754,354.7
3606,45,Male,97.0,1.79,177.0,153.0,81.0,0.57,Mixed,23.5,3.8,3,0,30.2,8.0,0.75,6.0,331.7
3607,28,Male,84.6,1.75,194.0,158.0,76.0,0.52,Strength,25.8,3.0,3,0,27.8,6.0,0.6949152542372882,4.169491525423729,183.4
3608,18,Female,70.2,1.62,203.0,165.0,77.0,0.28,Strength,33.2,3.3,2,0,26.6,6.0,0.6984126984126984,4.19047619047619,82.4
3609,55,Male,57.5,1.59,173.0,149.0,77.0,0.77,Mixed,28.4,3.7,2,0,22.8,8.0,0.75,6.0,265.7
3610,41,Female,59.2,1.47,178.0,144.0,64.0,0.79,Strength,26.1,3.8,3,1,27.3,6.0,0.7017543859649122,4.2105263157894735,196.9
3611,48,Female,46.1,1.6,175.0,141.0,77.0,0.9,Cardio,31.9,3.1,2,0,18.0,7.0,0.6530612244897959,4.571428571428571,189.7
3612,58,Female,82.1,1.78,167.0,135.0,76.0,1.21,Cardio,21.3,3.9,7,3,25.8,7.0,0.6483516483516484,4.538461538461538,450.9
3613,43,Female,69.1,1.67,186.0,145.0,68.0,1.1,Cardio,13.3,2.8,7,3,24.6,7.0,0.652542372881356,4.567796610169491,347.2
3614,22,Female,58.1,1.8,198.0,148.0,56.0,1.02,Cardio,14.4,3.3,6,3,18.0,7.0,0.647887323943662,4.535211267605634,268.8
3615,37,Female,67.1,1.62,189.0,149.0,56.0,0.97,Strength,18.8,3.8,7,2,25.6,6.0,0.6992481203007519,4.195488721804511,273.1
3616,58,Female,80.8,1.75,153.0,125.0,60.0,1.48,Strength,8.0,4.6,5,3,26.4,6.0,0.6989247311827957,4.193548387096774,501.5
3617,28,Male,46.6,1.61,203.0,184.0,75.0,0.75,HIIT,18.8,3.7,5,1,18.0,9.5,0.8515625,8.08984375,282.7
3618,50,Female,48.3,1.58,172.0,157.0,70.0,0.74,HIIT,29.0,3.6,3,1,19.3,9.5,0.8529411764705882,8.102941176470589,289.6
3619,55,Male,89.9,1.67,169.0,156.0,84.0,0.51,HIIT,31.3,2.9,3,0,32.3,9.5,0.8470588235294118,8.047058823529412,368.9
3620,44,Female,60.5,1.61,170.0,154.0,66.0,0.79,HIIT,24.7,3.1,5,1,23.3,9.5,0.8461538461538461,8.038461538461538,384.2
3621,51,Female,65.0,1.53,162.0,133.0,66.0,1.04,Strength,17.7,3.8,6,2,27.9,6.0,0.6979166666666666,4.1875,283.1
3622,32,Female,78.7,1.66,185.0,167.0,69.0,0.8,HIIT,28.1,2.9,5,1,28.5,9.5,0.8448275862068966,8.025862068965518,505.3
3623,49,Male,73.1,1.69,171.0,143.0,79.0,0.86,Strength,21.4,3.3,2,0,25.6,6.0,0.6956521739130435,4.173913043478261,262.4
3624,38,Female,91.6,1.81,181.0,143.0,74.0,0.76,Cardio,33.6,2.6,3,1,28.1,7.0,0.6448598130841121,4.5140186915887845,314.2
3625,22,Female,56.6,1.77,196.0,161.0,81.0,0.57,Strength,25.8,3.1,2,0,18.0,6.0,0.6956521739130435,4.173913043478261,134.7
3626,23,Male,74.9,1.8,196.0,176.0,64.0,0.98,HIIT,10.8,3.5,7,2,23.1,9.5,0.8484848484848485,8.06060606060606,591.7
3627,55,Male,55.3,1.75,153.0,130.0,76.0,1.14,Strength,26.9,3.9,5,1,18.0,6.0,0.7012987012987013,4.207792207792208,265.3
3628,39,Male,52.8,1.71,183.0,147.0,62.0,1.29,Strength,22.8,4.1,7,3,18.0,6.0,0.7024793388429752,4.214876033057851,287.1
3629,35,Male,52.9,1.56,184.0,155.0,67.0,1.01,Mixed,24.6,4.8,7,3,21.8,8.0,0.7521367521367521,6.017094017094017,321.5
3630,31,Female,61.3,1.69,194.0,177.0,82.0,0.5,HIIT,25.5,2.7,2,0,21.3,9.5,0.8482142857142857,8.058035714285714,247.0
3631,27,Female,73.1,1.74,191.0,132.0,60.0,0.98,Yoga,22.0,4.2,5,3,24.2,3.0,0.549618320610687,1.6488549618320612,118.1
3632,30,Male,79.7,1.83,188.0,129.0,57.0,1.24,Yoga,19.1,4.7,6,3,23.9,3.0,0.549618320610687,1.6488549618320612,163.0
3633,48,Female,75.0,1.75,173.0,142.0,71.0,0.38,Strength,33.5,2.6,3,1,24.5,6.0,0.696078431372549,4.1764705882352935,119.0
3634,47,Male,80.4,1.8,176.0,150.0,70.0,1.21,Mixed,16.0,4.5,4,2,24.7,8.0,0.7547169811320755,6.037735849056604,587.4
3635,20,Male,63.0,1.58,205.0,164.0,67.0,0.89,Strength,22.0,3.5,2,0,25.3,6.0,0.7028985507246377,4.217391304347826,236.5
3636,47,Male,54.7,1.65,173.0,156.0,58.0,0.93,HIIT,13.4,3.5,7,3,20.2,9.5,0.8521739130434782,8.095652173913043,411.8
3637,23,Female,62.6,1.72,199.0,155.0,73.0,0.7,Cardio,25.4,2.8,4,1,21.1,7.0,0.6507936507936508,4.555555555555555,199.6
3638,46,Male,76.9,1.8,174.0,138.0,55.0,1.28,Strength,8.9,3.8,6,3,23.9,6.0,0.6974789915966386,4.184873949579831,411.9
3639,25,Female,66.3,1.67,194.0,136.0,65.0,0.63,Yoga,22.5,3.2,3,1,23.9,3.0,0.5503875968992248,1.6511627906976742,69.0
3640,50,Female,55.0,1.67,160.0,131.0,62.0,0.54,Strength,26.1,3.2,5,2,19.7,6.0,0.7040816326530612,4.224489795918368,125.5
3641,34,Female,86.6,1.75,187.0,169.0,70.0,1.24,HIIT,27.3,3.5,5,1,28.3,9.5,0.8461538461538461,8.038461538461538,863.2
3642,28,Male,66.1,1.57,187.0,170.0,68.0,0.53,HIIT,21.9,2.9,3,1,26.9,9.5,0.8571428571428571,8.142857142857142,285.3
3643,30,Female,69.7,1.84,194.0,133.0,58.0,1.03,Yoga,13.2,4.6,7,3,20.6,3.0,0.5514705882352942,1.6544117647058825,118.8
3644,28,Male,58.7,1.59,188.0,129.0,58.0,1.04,Yoga,14.0,4.2,4,2,23.2,3.0,0.5461538461538461,1.6384615384615384,100.0
3645,48,Female,71.0,1.49,169.0,145.0,74.0,1.15,Mixed,15.1,4.7,7,2,32.0,8.0,0.7473684210526316,5.978947368421053,488.2
3646,45,Female,69.6,1.68,171.0,145.0,67.0,0.95,Mixed,22.2,3.6,3,1,24.6,8.0,0.75,6.0,396.7
3647,23,Female,87.5,1.85,200.0,149.0,55.0,0.98,Cardio,11.8,3.1,6,3,25.6,7.0,0.6482758620689655,4.537931034482758,389.1
3648,58,Male,65.2,1.74,160.0,120.0,71.0,1.15,Yoga,20.2,4.2,6,2,21.6,3.0,0.550561797752809,1.651685393258427,123.8
3649,33,Male,70.1,1.76,190.0,160.0,71.0,0.45,Mixed,22.9,3.8,2,0,22.7,8.0,0.7478991596638656,5.983193277310924,188.7
3650,21,Male,85.2,1.68,186.0,129.0,59.0,0.6,Yoga,16.0,3.7,6,2,30.0,3.0,0.5511811023622047,1.6535433070866143,84.5
3651,52,Male,67.8,1.66,178.0,148.0,78.0,0.97,Strength,20.5,3.9,3,0,24.5,6.0,0.7,4.199999999999999,276.2
3652,43,Female,55.2,1.53,172.0,145.0,62.0,1.17,Mixed,15.4,4.7,4,2,23.7,8.0,0.7545454545454545,6.036363636363636,389.9
3653,29,Female,50.8,1.45,195.0,141.0,76.0,0.67,Yoga,25.9,3.7,2,0,24.0,3.0,0.5462184873949579,1.638655462184874,55.8
3654,28,Male,98.7,1.7,194.0,137.0,67.0,1.13,Yoga,25.5,3.9,3,1,34.2,3.0,0.5511811023622047,1.6535433070866143,184.4
3655,54,Male,79.3,1.81,170.0,137.0,63.0,0.83,Strength,13.6,3.5,5,2,24.2,6.0,0.6915887850467289,4.149532710280374,273.1
3656,42,Male,60.8,1.71,174.0,125.0,65.0,0.52,Yoga,18.9,3.7,4,1,20.7,3.0,0.5504587155963303,1.651376146788991,52.2
3657,35,Male,64.9,1.74,183.0,152.0,59.0,0.73,Mixed,21.5,4.0,5,2,21.4,8.0,0.75,6.0,284.3
3658,36,Female,91.7,1.84,186.0,159.0,77.0,1.23,Mixed,22.2,4.4,7,3,27.1,8.0,0.7522935779816514,6.018348623853211,678.8
3659,40,Male,53.7,1.71,180.0,140.0,66.0,1.04,Cardio,16.2,3.1,5,1,18.3,7.0,0.6491228070175439,4.543859649122807,253.8
3660,55,Male,71.8,1.67,160.0,126.0,63.0,0.54,Cardio,19.7,2.3,4,1,25.8,7.0,0.6494845360824743,4.546391752577319,176.3
3661,35,Female,53.9,1.6,188.0,161.0,81.0,0.52,Mixed,40.0,3.9,3,0,21.1,8.0,0.7476635514018691,5.981308411214953,167.6
3662,43,Male,63.8,1.88,188.0,147.0,71.0,0.91,Cardio,21.3,2.9,3,1,18.0,7.0,0.6495726495726496,4.547008547008547,264.0
3663,23,Female,60.3,1.73,195.0,153.0,75.0,0.84,Cardio,28.2,3.4,2,0,20.1,7.0,0.65,4.55,230.5
3664,21,Male,60.6,1.59,201.0,161.0,68.0,0.7,Strength,20.2,4.0,5,1,24.1,6.0,0.6992481203007519,4.195488721804511,178.0
3665,46,Female,72.3,1.56,175.0,160.0,73.0,0.94,HIIT,27.7,3.8,2,0,29.6,9.5,0.8529411764705882,8.102941176470589,550.7
3666,51,Male,90.1,1.81,167.0,129.0,59.0,1.42,Cardio,8.0,3.7,7,3,27.7,7.0,0.6481481481481481,4.537037037037037,580.5
3667,34,Male,56.7,1.58,190.0,174.0,81.0,0.41,HIIT,21.1,2.3,3,0,22.8,9.5,0.8532110091743119,8.105504587155963,188.4
3668,33,Male,97.0,1.87,191.0,150.0,74.0,0.65,Cardio,29.4,3.0,2,0,27.9,7.0,0.6495726495726496,4.547008547008547,286.7
3669,19,Male,47.5,1.45,198.0,180.0,76.0,0.67,HIIT,23.4,3.5,5,1,22.6,9.5,0.8524590163934426,8.098360655737704,257.7
3670,51,Male,60.2,1.82,176.0,131.0,75.0,0.52,Yoga,22.9,3.2,2,0,18.1,3.0,0.5544554455445545,1.6633663366336635,52.1
3671,25,Female,72.0,1.73,195.0,177.0,74.0,0.93,HIIT,27.0,3.3,3,0,24.1,9.5,0.8512396694214877,8.086776859504132,541.5
3672,30,Male,51.5,1.69,195.0,175.0,60.0,1.0,HIIT,16.1,3.8,6,2,18.0,9.5,0.8518518518518519,8.092592592592593,416.8
3673,59,Female,75.1,1.66,163.0,126.0,81.0,0.97,Yoga,14.8,4.3,3,1,27.2,3.0,0.5487804878048781,1.6463414634146345,119.9
3674,25,Female,95.1,1.87,195.0,141.0,75.0,0.72,Yoga,24.5,3.9,2,0,27.2,3.0,0.55,1.65,113.0
3675,47,Female,62.8,1.75,173.0,139.0,75.0,0.97,Cardio,22.8,3.4,3,0,20.5,7.0,0.6530612244897959,4.571428571428571,278.5
3676,49,Female,62.1,1.59,174.0,141.0,79.0,0.74,Cardio,30.6,2.6,3,1,24.6,7.0,0.6526315789473685,4.568421052631579,209.9
3677,53,Male,55.8,1.51,162.0,147.0,67.0,1.03,HIIT,18.5,3.7,6,2,24.5,9.5,0.8421052631578947,8.0,459.8
3678,47,Male,79.2,1.7,175.0,149.0,73.0,0.86,Mixed,12.3,4.5,5,1,27.5,8.0,0.7450980392156863,5.96078431372549,406.0
3679,18,Male,53.7,1.68,205.0,186.0,75.0,0.26,HIIT,29.8,2.8,3,0,19.0,9.5,0.8538461538461538,8.111538461538462,113.3
3680,56,Male,61.6,1.53,167.0,141.0,66.0,0.37,Mixed,22.3,3.7,5,1,26.4,8.0,0.7425742574257426,5.9405940594059405,135.4
3681,34,Female,52.5,1.67,177.0,127.0,66.0,1.12,Yoga,18.3,4.4,5,3,18.7,3.0,0.5495495495495496,1.648648648648649,96.9
3682,37,Female,71.4,1.62,176.0,159.0,63.0,1.19,HIIT,25.7,3.5,3,1,27.1,9.5,0.8495575221238938,8.070796460176991,685.7
3683,41,Female,79.8,1.68,179.0,141.0,70.0,0.26,Cardio,31.2,2.7,2,0,28.3,7.0,0.6513761467889908,4.559633027522936,94.6
3684,39,Male,65.5,1.75,177.0,144.0,66.0,1.05,Strength,21.8,4.1,4,1,21.3,6.0,0.7027027027027027,4.216216216216217,290.0
3685,46,Male,96.6,1.83,178.0,139.0,66.0,1.01,Cardio,8.4,3.4,7,2,28.9,7.0,0.6517857142857143,4.5625,445.1
3686,39,Male,56.4,1.77,179.0,148.0,75.0,0.25,Strength,26.9,2.7,2,0,18.0,6.0,0.7019230769230769,4.211538461538462,59.4
3687,26,Male,73.4,1.61,197.0,163.0,61.0,0.91,Mixed,22.2,4.2,5,1,28.4,8.0,0.75,6.0,400.8
3688,54,Female,87.7,1.72,176.0,141.0,77.0,0.73,Cardio,26.8,3.2,4,2,29.8,7.0,0.6464646464646465,4.525252525252526,289.7
3689,27,Male,72.2,1.69,193.0,176.0,79.0,0.79,HIIT,29.1,3.0,3,0,25.4,9.5,0.8508771929824561,8.083333333333334,461.1
3690,53,Male,55.5,1.55,162.0,131.0,58.0,0.98,Strength,12.0,3.7,5,3,23.2,6.0,0.7019230769230769,4.211538461538462,229.1
3691,54,Female,74.7,1.72,168.0,125.0,72.0,0.76,Yoga,28.4,4.0,4,1,25.2,3.0,0.5520833333333334,1.65625,94.0
3692,45,Female,75.1,1.87,176.0,161.0,72.0,0.88,HIIT,27.0,3.4,4,1,21.6,9.5,0.8557692307692307,8.129807692307692,537.3
3693,45,Male,97.7,1.68,176.0,135.0,58.0,1.11,Cardio,12.5,3.5,7,3,34.5,7.0,0.652542372881356,4.567796610169491,495.4
3694,59,Male,50.1,1.52,168.0,127.0,77.0,0.25,Yoga,25.8,3.3,2,0,21.7,3.0,0.5494505494505495,1.6483516483516485,20.6
3695,38,Female,82.9,1.68,176.0,127.0,67.0,1.07,Yoga,24.3,4.0,7,2,29.3,3.0,0.5504587155963303,1.651376146788991,146.5
3696,41,Male,51.1,1.56,184.0,133.0,70.0,1.09,Yoga,10.5,4.5,4,2,21.0,3.0,0.5526315789473685,1.6578947368421053,92.3
3697,59,Female,94.8,1.77,158.0,119.0,70.0,0.78,Yoga,27.8,3.3,5,1,30.4,3.0,0.5568181818181818,1.6704545454545454,123.5
3698,57,Female,96.2,1.73,170.0,156.0,77.0,0.38,HIIT,27.1,3.0,2,0,32.0,9.5,0.8494623655913979,8.06989247311828,295.0
3699,19,Male,70.6,1.66,190.0,160.0,69.0,0.67,Mixed,16.3,3.7,3,1,25.5,8.0,0.7520661157024794,6.016528925619835,284.6
3700,25,Female,68.2,1.65,205.0,146.0,73.0,1.06,Yoga,25.5,4.2,2,0,25.1,3.0,0.553030303030303,1.659090909090909,119.9
3701,44,Male,55.5,1.66,175.0,148.0,66.0,0.67,Mixed,25.9,3.7,3,1,20.2,8.0,0.7522935779816514,6.018348623853211,223.8
3702,39,Male,55.6,1.68,175.0,146.0,61.0,1.19,Mixed,21.0,4.5,6,2,19.7,8.0,0.7456140350877193,5.964912280701754,394.7
3703,54,Male,64.7,1.6,171.0,135.0,68.0,0.65,Cardio,16.4,2.5,4,1,25.2,7.0,0.6504854368932039,4.553398058252427,191.5
3704,44,Male,70.9,1.54,179.0,162.0,69.0,0.94,HIIT,27.6,3.7,5,1,29.8,9.5,0.8454545454545455,8.031818181818181,535.3
3705,46,Female,70.2,1.79,176.0,133.0,80.0,0.63,Yoga,32.8,3.4,2,0,21.8,3.0,0.5520833333333334,1.65625,73.2
3706,20,Male,88.5,1.64,205.0,165.0,73.0,0.83,Strength,24.7,3.2,2,0,32.8,6.0,0.696969696969697,4.181818181818182,307.2
3707,30,Male,62.1,1.7,190.0,144.0,58.0,0.95,Cardio,10.5,3.3,7,3,21.6,7.0,0.6515151515151515,4.5606060606060606,269.1
3708,27,Female,72.7,1.71,192.0,174.0,74.0,1.19,HIIT,29.4,3.5,3,0,24.9,9.5,0.847457627118644,8.050847457627118,696.5
3709,53,Male,73.1,1.71,161.0,148.0,75.0,0.54,HIIT,22.6,3.1,2,0,24.9,9.5,0.8488372093023255,8.063953488372093,318.3
3710,26,Male,57.6,1.56,193.0,162.0,68.0,0.83,Mixed,8.9,4.1,6,3,23.6,8.0,0.752,6.016,287.6
3711,44,Male,41.2,1.51,173.0,137.0,68.0,0.81,Cardio,14.3,3.6,4,1,18.0,7.0,0.6571428571428571,4.6,153.5
3712,51,Male,56.6,1.62,169.0,154.0,68.0,0.84,HIIT,12.5,3.3,6,2,21.5,9.5,0.8514851485148515,8.089108910891088,384.6
3713,18,Female,73.3,1.72,203.0,159.0,77.0,0.6,Cardio,29.0,2.6,3,0,24.8,7.0,0.6507936507936508,4.555555555555555,200.4
3714,49,Female,61.0,1.61,180.0,164.0,75.0,0.35,HIIT,27.5,2.1,3,0,23.6,9.5,0.8476190476190476,8.052380952380952,171.9
3715,42,Male,71.8,1.64,174.0,147.0,65.0,0.73,Mixed,20.4,4.1,3,1,26.5,8.0,0.7522935779816514,6.018348623853211,315.4
3716,46,Female,96.8,1.89,173.0,128.0,73.0,0.99,Yoga,21.5,4.0,3,1,27.0,3.0,0.55,1.65,158.1
3717,24,Female,51.5,1.5,194.0,131.0,55.0,1.09,Yoga,15.8,4.6,5,3,23.0,3.0,0.5467625899280576,1.640287769784173,92.1
3718,20,Female,51.9,1.6,193.0,174.0,65.0,0.48,HIIT,25.4,3.1,3,1,20.2,9.5,0.8515625,8.08984375,201.5
3719,37,Female,105.5,1.87,198.0,179.0,72.0,0.62,HIIT,30.9,3.1,2,0,30.2,9.5,0.8492063492063492,8.067460317460318,527.7
3720,37,Male,52.2,1.68,178.0,140.0,69.0,0.7,Cardio,14.5,2.7,4,1,18.6,7.0,0.6513761467889908,4.559633027522936,166.6
